Sentiment,SentimentText
0,ఆస్ట్రేలియాలోని అడిలైట్ టౌన్ లోకి ఓ కంగారూ ఎంట్రీ ఇచ్చింది
0,నిర్మానుష్య‌మైన అడిలైడ్ ప్రధాన ర‌హ‌దారిపై ప‌క్క నుంచి కంగారూ చెంగు చెంగున గంతులేస్తూ వెళ్లింది.  
1,ఈ వీడియో నెట్టింట్లో చక్క‌ర్లు కొడుతోంది.
0,కొంద‌రు హీరోలు రీల్ లైఫ్‌లోనే కాదు రియ‌ల్ లైఫ్‌లోను ప‌లు సాహ‌సాలు చేస్తూ అంద‌రినీ అబ్బుర‌పరుస్తుంటారు. 
1,త‌మిళ స్టార్ హీరో అజిత్ ఇటీవ‌ల హైద‌రాబాద్ నుండి చెన్నైకి అంటే దాదాపు 650 కి.మీ ఒంట‌రిగా బైక్ ప్ర‌యాణం చేశాడ‌ట‌. రు.
0,రీసెంట్‌గా చిత్ర బృందం ఈ విష‌యాన్ని చెప్ప‌డంతో అంద‌రు ఆశ్చ‌ర్య‌పోతున్నా
0,అజిత్ హీరోగా హెచ్ వినోద్ తెర‌కెక్కించిన వాలిమై చిత్రం ఆ మ‌ధ్య హైద‌రాబాద్‌లో షూటింగ్ జ‌రుపుకుంది. 
0,వాలిమై చిత్రంలో అజిత్ స‌ర‌స‌న హ్యుమా ఖురేషీ క‌థానాయిక‌గా న‌టిస్తుంది. యువ‌న్ శంక‌ర్ రాజా మ్యూజిక్ అందిస్తున్నారు. బోనీ క‌పూర్ నిర్మిస్తున్నారు
0,. అజిత్ చేసిన ఈ రిస్క్ గురించి విన్న అభిమానులు ఆశ్చ‌ర్య‌పోతున్నారు. 
1, సిద్ధిపేట మల్టీ పర్పస్ హైస్కూల్ లో ఏర్పాటు చేసిన తాత్కాలిక రైతు బజారును  రాష్ట్ర ఆర్థిక శాఖ మంత్రి హరీశ్ రావు ఆకస్మికంగా పరిశీలించారు. 
0,లాక్​డౌన్ కారణంగా ఇంటికే పరిమితమైన టీమ్​ఇండియా కెప్టెన్ మహేంద్ర సింగ్​ ధోనీ కుటుంబంతో సరదాగా గడుపుతున్నాడు. ఈ తరుణంలో కూతురు జివాతో తన ఫామ్​హౌస్​లో బైక్​పై తిరిగాడు
0,. కూతురిని వెనకెక్కించుకొని తన ఫేవరెట్​పై బైక్​పై చక్కర్లు కొట్టారు. 
1,ధోనీ భార్య సాక్షి సింగ్ ఇన్​స్టాగ్రామ్ లైవ్​లో ఈ విషయాన్ని వెల్లడించింది. 
1,ఇద్దరు పిల్లలు ఆడుకుంటున్నారు. ఒకరు పెద్ద పిల్లాడు. మరోకరు చిన్నారి’ అని సాక్షి చెప్పింది. 
0,అలాగే మిస్టర్ స్వీటీ అంటూ ధోనీతో ఉన్న ఫొటోను కూడా సాక్షి పోస్ట్ చేసింది. మరోవైపు గతేడాది వన్డే ప్రపంచకప్ సెమీఫైనల్ తర్వాతి నుంచి క్రికెట్ దూరంగా ఉంటున్న ధోనీ..
0, ఐపీఎల్​తో మళ్లీ బరిలోకి దిగాలనుకున్నా కరోనా వైరస్ కారణంగా టోర్నీ వాయిదా పడిన విషయం తెలిసిందే
0,రాష్ట్రంలోని స్థానిక అధికారులకు సమాచారం ఇవ్వకుండానే కరోనా హాట్‌స్పాట్‌లలో ఈ బృందాలు పర్యటించటం వివాదాస్పదమైంది. 
1,పశ్చిమబెంగాల్‌ ముఖ్యమంత్రి మమతాబెనర్జీ కేంద్రప్రభుత్వంపై మరోసారి విరుచుకుపడ్డారు.
1,కేంద్ర బృందాలు రాష్ట్రానికి చేరుకున్న తర్వాత రెండు గంటలు ఆలస్యంగా కేంద్ర హోంమంత్రి అమిత్‌షా బెంగాల్‌ సీఎంకు ఫోన్‌చేసి సమాచారం ఇచ్చారు. 
1,బెంగాల్‌లో లాక్‌డౌన్‌ నిబంధనలు ఎలా అమలవుతున్నాయో పరిశీలించేందుకు కేంద్ర ప్రభుత్వం రెండు నిపుణుల బృందాలను రాష్ట్రానికి పంపింది. 
1,దాంతో తమను కేంద్రం అవమానించిందని మమత మండిపడుతున్నారు.  
1,ఈ రోజు నుంచి లాక్‌డౌన్‌పై స్పెషల్‌ డ్రైవ్‌ నిర్వహిస్తున్నామని నగర పోలీస్‌ కమిషనర్‌ అంజనీకుమార్‌ తెలిపారు. 
0,ప్రతి చెక్‌పోస్టు దగ్గర వాహనాలు తనిఖీ చేస్తున్నాం. లాక్‌డౌన్‌ కఠినంగా అమలైతేనే కరోనా కట్టడి సాధ్యమవుతుంది.
0, పోలీసులు ఇచ్చిన పాస్‌లను కొందరు దుర్వినియోగం చేస్తున్నారు. 
1,వ్యక్తిగత అవసరాల కోసం పాస్‌లను వాడుతున్నట్లు సమాచారం వచ్చింది. నిబంధనలు ఉల్లంఘిస్తే వాహనం సీజ్‌ చేసి పాస్‌ రద్దు చేస్తామని హెచ్చరించారు. 
1, త‌మిళ న్యూస్ ఛాన‌ల్‌లో ప‌నిచేస్తున్న 25 మందికి క‌రోనా పాజిటివ్ అని తేలింది.  
1,చెన్నైలో ఆ ఛాన‌ల్ సిబ్బందికి ప‌రీక్షలు చేప‌ట్టారు.
0,  దీంతో జ‌ర్న‌లిస్టుల‌తో స‌హా కొంత మంది సిబ్బందికి వైర‌స్ ఉన్న‌ట్లు గుర్తించామ‌ని ప్ర‌భుత్వ అధికారి ఒక‌రు తెలిపారు.
0, ముంబైలో కూడా సుమారు 53 మంది జ‌ర్న‌లిస్టుల‌కు వైర‌స్ సోకిన‌ట్లు తేలిసిందే. 
1,అయితే దేశ రాజ‌ధాని ఢిల్లీలోనూ జ‌ర్న‌లిస్టుల‌కు వైర‌స్ ప‌రీక్ష‌లు నిర్వ‌హించ‌నున్న‌ట్లు సీఎం కేజ్రీవాల్ తెలిపారు. త‌న ట్విట్ట‌ర్‌లో ఆయ‌న ఈ విష‌యంపై స్పందించారు. 
0,లాక్‌డౌన్ వేళ ‘బీ ద రియల్ మ్యాన్’ చాలెంజ్‌ ఇప్పుడు విస్తృతంగా సాగుతుంది. 
0,అర్జున్ రెడ్డి దర్శకుడు సందీప్ రెడ్డి వంగా ప్రారంభించిన ఈ ఛాలెంజ్‌ను ఇప్పుడు పలువురు స్వీకరించ‌డమే కాక త‌మ ఫ్రెండ్స్‌కి విసురుతున్నారు
1,ఇంట్లో పనులను చేయడంలో గర్వపడదాం! 
0,. ఇంటి పనుల్లో భార్యకు సహాయం చేయడమే ఈ ఛాలెంజ్‌ యొక్క ముఖ్య ఉద్దేశ్యం. ఇక సందీప్ నుంచి ఈ సవాల్‌ను స్వీకరించిన రాజమౌళి..
0," ఎన్టీఆర్‌, రామ్ చ‌ర‌ణ్‌, కీర‌వాణి, సుకుమార్‌ల‌కి విస‌ర‌గా ఎన్టీఆర్ ఇప్ప‌టికే వీడియో షేర్ చేశారు. తాజాగా రామ్ చర‌ణ్ ఛాలెంజ్‌ని స్వీక‌రించిన‌ట్టు త‌న ట్విట్ట‌ర్ ద్వారా పేర్కొన్నారు."
0,"నిజమైన పురుషులుగా ఉండి, పని భారాన్ని పంచుకోవడం ద్వారా మహిళలకు సహాయం చేద్దాం అని తెలిపిన రామ్ చ‌ర‌ణ్ ఓ వీడియో షేర్ చేశారు. "
0,"ఇందులో బ‌ట్ట‌లు స‌ర్ద‌డం, మొక్క‌ల‌కి నీరు పోయడం, కాఫీ ఫెట్ట‌డం, ఇల్లు తూడవ‌డం వంటి ప‌నులు చేశాడు. "
0,"శ‌ర్వానంద్‌, త్రివిక్ర‌మ్ శ్రీనివాస్,రానాల‌ని  స్వీక‌రించాల‌ని కోరాడు రామ్ చ‌ర‌ణ్‌ ఈ ఛాలెంజ్‌ని బాలీవుడ్ హీరో ర‌ణ్‌వీర్ సింగ్‌తో పాటు "
1,భౌతికదూరం నిబంధనలను తప్పనిసరిగా పాటిస్తే రాష్ట్రంలో మద్యం షాపులను తెరవడానికి అనుమతిస్తామని మహారాష్ట్ర ఆరోగ్యశాఖ మంత్రి రాజేశ్‌ తోప్‌ వెల్లడించారు. 
1,"ప్రభుత్వానికి ఆదాయాన్ని సమకూర్చడానికి, ఉపాధి కల్పించడానికి రాష్ట్రంలో డిస్టిలరీ నుంచి వైన్‌ షాపుల వరకు విడతలవారీగా వ్యాపారం ప్రారంభించడానికి అనుమతించాలని "
1,కాన్ఫడరేషన్‌ ఆఫ్‌ ఇండియన్‌ ఆల్కహాలిక్‌ బేవరెజ్‌ కంపెనీస్‌ (సీఐఏబీసీ) సీఎం ఉద్ధవ్‌ థాక్రేను గతవారం కోరింది
0,. దీంతో ఆరోగ్యశాఖ మంత్రి రాజేశ్‌ భౌతిక దూరం నిబంధనలను కచ్చితంగా అమలుచేస్తే వైన్‌ షాపులను తెరవడానికి అనుమతిస్తామని స్పష్టం చేశారు.
1, అయితే దీనికి సంబంధించి ప్రభుత్వం ఇప్పటివరకు ఎలాంటి ఆదేశాలు ఇవ్వలేదు. 
1,రాష్ట్రంలో లాక్‌డౌన్‌ నిబంధనలను సడలించిన ప్రభుత్వం పరిమిత సంఖ్యలో వ్యాపారాలను నిర్వహించుకోవడానికి అనుమతించింది
0,రాష్ట్రంలో లాక్‌డౌన్‌ నిబంధనలను సడలించిన ప్రభుత్వం పరిమిత సంఖ్యలో వ్యాపారాలను నిర్వహించుకోవడానికి అనుమతించింది
0, స్థానిక సంస్థ‌ల‌ ఎన్నికల లోపు ప్రభుత్వ భవనాలకు వేసిన వైసీపీ రంగులు తొలగించాలని ఆంధ్రప్రదేశ్ హైకోర్టు సంచలన ఆదేశాలు జారీ చేసింది. 
0,రంగులు తొలగించడానికి ఏపీ సర్కార్ మూడు వారాల గడువు కోరగా ఉన్నత న్యాయస్థానం అంగీకరించింది. 
0,రంగులు మార్చాలని గతంలో హైకోర్టు ఇచ్చిన‌ తీర్పుపై ఆంధ్ర‌ప్ర‌దేశ్ ప్ర‌భుత్వం సుప్రీం కోర్టుకు వెళ్లింది. 
0,ప్ర‌భుత్వ భ‌వ‌నాల‌కు వైసీపీ రంగులు తొల‌గించే వ‌ర‌కు స్థానిక ఎన్నికలు నిర్వహించరాదని హైకోర్టు తేల్చి చెప్పింది. 
0,సుప్రీంకోర్టు కూడా హైకోర్టు తీర్పును స‌మ‌ర్థించడంతో..
1, హైకోర్టు తాజా ఆదేశాలు జారీచేసింది. 
1,అదేవిధంగా ప్రభుత్వ భవనాలకు ఏ రంగులు వేయాలన్న దానిపై ఏపీ ప్ర‌భుత్వ ప్రధాన కార్యదర్శి నేతృత్వంలో ఒక‌ కమిటీని నియమించి నిర్ణ‌యం తీసుకోవాల‌ని కోర్టు ఆదేశించింది.
1, కరోనా వైరస్‌ ప్రభావం యూపీఐ చెల్లింపులపైనా పడింది.
0, 21 రోజులుగా కొనసాగుతున్న లాక్‌డౌన్‌తో గత కొన్ని నెలలుగా నిరంతరం పెరుగుతున్న యూపీఐ(యూనిఫైడ్‌ పేమెంట్స్‌ ఇంటర్పేస్‌) చెల్లింపులు మార్చ్‌ నెలలో పూర్తిగా పడిపోయాయి. 
1," ఆర్బీఐ గణాంకాల ప్రకారం ఫిబ్రవరి వరకు 132.57 కోట్ల లావాదేవిలు ఉండగా, మార్చిల్‌ 124.68 కోట్లకు పడిపోయింది. "
1,యూపీఐ చెల్లింపుల విధానాన్ని ఆర్బీఐ సూచనల మేరకు నేషనల్‌ పేమెంట్స్‌ కార్పోరేషన్‌ ఇండియా రూపొందించింది. 
1,ఇది ఏదైనా బ్యాంకు ఖాతాకు డబ్బును తక్షణమే బదిలీ చేస్తున్న సంగతి తెలిసిందే.
1,డిజిటల్‌ పేమెంట్స్‌  ప్రారంభం నుంచి ప్రజల్లో ఆన్‌లైన్‌ ట్రాన్స్‌ఫర్‌పై అవగాహన పెరిగి నిరంతరం లావాదేవిలు పెరుగుతూ వచ్చాయి. 
0,"ప్రస్తుతం లాక్‌డౌన్‌ కారణంగా యూపీఐ లావాదేవిలు ప్రతికూల ప్రభావంను ఎదుర్కొంటున్నాయి. ఏప్రిల్‌, మే నెలలో యూపీఐ లావాదేవిలు మరింత క్షిణించే అవకాశం ఉందని నిపుణులు తెలిపారు. "
1, ఈ వీడియోను ఢిల్లీ పోలీసు విభాగం ట్విట్టర్​లో పోస్ట్ చేసింది.
1," ఒక్కోసారి చేసే చిన్న పొరపాటు కూడా కరోనాపై యుద్ధంలో వ్యతిరేక ప్రభావాన్ని చూపుతుందని, అందుకే అందరూ చాలా జాగ్రత్తగా ఉండాలని వీడియో సందేశాన్నిచ్చాడు."
0,"ఒక్క క్యాచ్​, స్టంప్ అవకాశం చేజార్చినా ఒక్కోసారి మ్యాచ్​దిశ మారిపోవచ్చు. అదేవిధంగా చిన్న పొరపాటు కూడా కరోనా వైరస్​పై జరుగుతున్న యుద్ధాన్ని ప్రభావితం చేసే అవకాశం ఉంటుంది. "
1,అలా జరుగకుండా ఢిల్లీ పోలీసులకు సహకరిద్దాం. కేంద్ర ప్రభుత్వ మార్గనిర్దేశాలను పాటిద్దాం. ఇంట్లోనే ఉందాం. నిత్యావసరాల కోసం మాత్రమే బయటకు 
1,రండి. భౌతిక దూరం తప్పకపాటించండి. అందరం కలిసికట్టుగా పోరాడితేనే ఈ యుద్ధంలో విజయం సాధించగలం’ అని పంత్ పేర్కొన్నాడు. 
1,రండి. భౌతిక దూరం తప్పకపాటించండి. అందరం కలిసికట్టుగా పోరాడితేనే ఈ యుద్ధంలో విజయం సాధించగలం’ అని పంత్ పేర్కొన్నాడు. 
1, తాజాగా బాలీవుడ్ హీరోయిన్ కంగ‌నా ర‌నౌత్ రూ.5ల‌క్ష‌ల రూపాయ‌లని  ఫిల్మ్ ఎంప్లాయీస్ ఫెడరేషన్ ఆఫ్ సౌత్‌ ఇండియాకి విరాళంగా అందించారు. 
1,లాక్​డౌన్ నిబంధనలను పాటిస్తూ పోలీసులకు అందరూ సహకరించాలని టీమ్ఇండియా వికెట్ కీపింగ్ బ్యాట్స్​మన్ రిషబ్ పంత్​ ప్రజలకు సూచించాడు.
0,"థ్యంలో తలైవీ అనే సినిమా రూపొందుతుండ‌గా, ఇందులో కంగ‌నా ర‌నౌత్ .. జ‌య‌ల‌లిత పాత్ర పోషిస్తున్న సంగ‌తి తెలిసిందే.  "
0,లాక్ డౌన్ కార‌ణంగా సినీ ప‌రిశ్ర‌మ‌లో  ఇబ్బంది ప‌డుతున్న కార్మికుల‌ని ఆదుకునేందుకు ప‌లువురు సెల‌బ్రిటీలు ముందుకు వ‌స్తున్న సంగ‌తి తెలిసిందే.
1,"విజ‌య్ ఈ చిత్రాన్ని తెర‌కెక్కిస్తుండగా, వైబ్రీ మీడియా, విష్ణు ఇందూరి సంయుక్తంగా నిర్మిస్తున్న ఈ చిత్రానికి విజ‌యేంద్ర ప్ర‌సాద్ క‌థ అందిస్తున్నారు."
1," ప‌లు భాష‌ల‌లో విడుద‌ల కానున్న ఈ చిత్రం  తమిళంలో ‘తలైవి’గా, హిందీలో ‘జయ’గా ఈ చిత్రం విడుద‌ల కానుంది."
1,కరోనా నేపథ్యంలో సంగారెడ్డి శివారులో ఉన్న జిల్లా జైలును లోక్‌సభ సభ్యులు కొత్త ప్రభాకర్‌రెడ్డి సందర్శించారు
1," ఖైదీలతో మాట్లాడిన ఎంపీ, కరోనా కట్టడికి చేసిన ఏర్పాట్లపై అధికారులను అడిగి వివరాలు తెలుసుకున్నారు. "
0,ఖైదీలకు ఇబ్బంది లేకుండా అన్ని చర్యలు తీసుకోవాలని అధికారులకు సూచించారు.జైలులో ఖైదీలు తప్పకుండా సామాజిక దూరం పాటించాలని కోరారు. 
0,ఎలాంటి అనారోగ్యం ఉన్నా జైలరుకు వెంటనే తెలియజేయండని తెలిపారు. ఖైదీలు ఎలాంటి ఆందోళన చెందాల్సి అవసరం లేదని భరోసా కల్పించారు. 
0,లాక్ డౌన్ కార‌ణంగా సినీ ప‌రిశ్ర‌మ‌లో  ఇబ్బంది ప‌డుతున్న కార్మికుల‌ని ఆదుకునేందుకు ప‌లువురు సెల‌బ్రిటీలు ముందుకు వ‌స్తున్న సంగ‌తి తెలిసిందే. 
1,తాజాగా బాలీవుడ్ హీరోయిన్ కంగ‌నా ర‌నౌత్ రూ.5ల‌క్ష‌ల రూపాయ‌లని  ఫిల్మ్ ఎంప్లాయీస్ ఫెడరేషన్ ఆఫ్ సౌత్‌ ఇండియాకి విరాళంగా అందించారు. 
0,"తమిళ ప్రజలు ‘పురచ్చి తలైవి’గా పిలుచుకునే జయలలిత జీవిత నేప‌థ్యంలో తలైవీ అనే సినిమా రూపొందుతుండ‌గా, ఇందులో కంగ‌నా ర‌నౌత్ .. జ‌య‌ల‌"
0,అలానే మ‌రో రూ.5 ల‌క్ష‌ల రూపాయ‌ల‌ని తాను న‌టిస్తున్న త‌లైవి చిత్ర కార్మికుల‌ని ఆదుకునేందుకు సాయం చేశారు. కంగ‌నా 
0,టికి కనిపించని వైరస్‌ ఎటు నుంచి వస్తుందో.. 
0,ఎవరిపై దాడి చేస్తుందో.. ఎవరికీ తెలియదు.  అందుకే మందులేని ఈ మహమ్మారిని నిరోధించాలంటే.. 
1,వైద్యులు చెబుతున్నట్లు ‘సామాజిక దూరమే’ మనకున్న ఏకైక ఆయుధం. 
0,ఇటలీలో కరోనా విజృంభిస్తుండటంతో లాక్‌డౌన్‌ విధించారు
1,అత్యవసర పరిస్థితుల్లో బయటకు వెళ్లినప్పుడు తగిన జాగ్రత్తలు తీసుకోవడంతోపాటు మనిషికీ మనిషికి నడుమ ‘మీటర్‌ దూరం’ ఉంటేనే వైరస్‌ వ్యాప్తికి అడ్డుకట్టపడుతుంది.   
1,". దీంతో దేశప్రజలందరూ ఇళ్లకే పరిమితమయ్యారు. సాధారణంగా టెన్నిస్‌ ఆటను ఆయా కోర్టుల్లోనే ఆడతారు కానీ,"
0, ఇటలీలో ఓ ఇద్దరు యువతులు తమ ఇళ్ల పైకప్పుల నుంచి టెన్నిస్‌ ఆడటం వైరల్‌గా మారింది. వీరిద్దరూ ఎలాంటి తప్పిదాలు లేకుండా సుధీర్ఘ ర్యాలీలు ఆడటం విశేషం
0,".  ఇప్పటి వరకు ఇటలీలో 1,81,228 మందికి వైరస్‌  సోకింది."
0,. ఆ న‌గ‌ర వీధుల్లో ఇవాళ ట్రాఫిక్ జామైంది. 76 రోజుల లాక్‌డౌన్ త‌ర్వాత ఇటీవ‌లే తెరుచుకున్న ఆ న‌గ‌రంలో మ‌ళ్లీ ప‌నుల‌న్నీ సాధార‌ణ స్థాయికి వ‌చ్చాయి.  
0, నోవెల్ క‌రోనా వైర‌స్ కేంద్ర‌బిందువైన చైనాలోని వుహాన్ న‌గ‌రం మ‌ళ్లీ బిజీబిజీగా మారింది
0,భారీ సంఖ్య‌లో కార్లు ఇవాళ రోడ్డెక్కాయి.  దీంతో కొన్ని రూట్ల‌లో ర‌హ‌దారుల‌న్నీ జామ‌య్యాయి.  
1,క‌రోనా వైర‌స్‌కు రిస్క్ లేద‌ని ప్ర‌క‌టించిన త‌ర్వాత వుహాన్ ప్ర‌జ‌లు అధిక సంఖ్య‌లో బ‌య‌ట‌కు వ‌చ్చారు. 
1,లాక్‌డౌన్ త‌ర్వాత తొలి వీకెండ్ కావ‌డంతో జ‌నం కొంత స్వేచ్ఛాగాలిని పీల్చారు. 
0,వాస్త‌వానికి ఇంకా అక్క‌డ రెస్లారెంట్ల‌లో డైనింగ్ ఆప్ష‌న్ ఇవ్వ‌లేదు.  
0,కేవ‌లం టేక‌వేలు మాత్ర‌మే న‌డుస్తున్నాయి. కొన్ని రోజుల క్రిత‌మే ఆ న‌గ‌రంలో షాపింగ్ మాల్స్‌ను ఓపెన్ చేశారు
1,. కానీ ఇంకా సినిమా థియేట‌ర్ల‌కు అనుమ‌తి రాలేదు. 
0,దేశంలో కరోనా వైరస్ ప్రభావం తగ్గితే సెప్టెంబర్​లో ఐపీఎల్ జరిగే అవకాశం అధికంగా ఉందని 
0,“సెప్టెంబర్ 30వరకు వేరే దేశాల నుంచి ఎవరూ రాకుండా ఆస్ట్రేలియా నిషేధం విధించింది.
1, షెడ్యూల్ ప్రకారం అక్టోబర్ మూడో వారం నుంచి టీ20 ప్రపంచకప్ జరగాల్సింది. అయితే ప్రస్తుతం ఉన్న ఆంక్షల వల్ల అది చాలా కష్టం. 
0,భారత క్రికెట్ దిగ్గజం సునీల్ గవాస్కర్ అన్నాడు. 
1,"ఈ ఏడాది టీ20 ప్రపంచకప్ నిర్వహించేందుకు భారత్​, ఆస్ట్రేలియా ఒప్పందం చేసుకోవాలి. "
1,అలాగే అక్టోబర్ నుంచి జరగాల్సిన టీ20 ప్రపంచకప్ నిర్వహణను ఆస్ట్రేలియా నుంచి భారత్​కు మార్చవచ్చని సూచించాడు. 
0,ఆస్ట్రేలియా ఆరు నెలల పాటు దేశ సరిహద్దులను మూసేయడంతో షెడ్యూల్ ప్రకారం అక్కడ ఈ ఏడాది టీ20 ప్రపంచకప్
0, జరుగడంఆస్ట్రేలియా ఆరు నెలల పాటు దేశ సరిహద్దులను మూసేయడంతో షెడ్యూల్ ప్రకారం అక్కడ 
0,ఈ ఏడాది టీ20 ప్రపంచకప్ జరుగడం చాలా కష్టమని సన్నీ ఓ టీవీ చానెల్​తో మంగళవారం చెప్పాడు.
1,ఒకవేళ భారత్​లో కరోనా ప్రభావం మాయమైపోతే..  
0,భారత్​లో ఈ ఏడాది అక్టోబర్​-నవంబర్​లో టీ20 ప్రపంచకప్ నిర్వహించాలి. వచ్చే ఏడాది భారత్​లో జరగాల్సిన టీ20 వరల్డ్ కప్ టోర్నీని ఆస్ట్రేలియాకు బదిలీ చేయాలి. 
0,కరోనా కారణంగా ఈ ఏడాది జరగాల్సిన ఐపీఎల్​ 13వ సీజన్ నిరవధికంగా వాయిదా పడిన విషయం తెలిసిందే. 
10,అలా అయితే ఈ ఏడాది విశ్వకప్ జరిగే అవకాశం ఉంటుంది’ అని గవాస్కర్ చెప్పాడు.
1,ప్ర‌పంచ ఆరోగ్య సంస్థ‌కు చెందిన వాహ‌నంపై దాడి జ‌రిగింది. 
0,మ‌య‌న్మార్‌లోని రాకైన్ రాష్ట్రంలో ఈ ఘ‌ట‌న జ‌రిగింది.
1,  క‌రోనా పేషెంట్ల‌కు చెందిన శ్యాంపిళ్ల‌ను తీసుకున్న వాహ‌నంపై దుండ‌గులు దాడి చేశారు. ఈ దాడిలో కారు డ్రైవ‌ర్ అక్క‌డిక్క‌డే మృతిచెందాడు. 
1,లాక్ డౌన్ తో ప్ర‌జ‌లంతా స్వీయ నియంత్ర‌ణ పాటిస్తూ ఇళ్లలో  ఉండిపోతున్నారు. 
0,సమాచారం అందుకున్న తల్లిదండ్రులు అక్కడికి చేరుకుని బాలికను ప్రభుత్వాసుపత్రికి తరలించగా అప్పటికే మరణించినట్లు వైద్యులు నిర్ధారించారు.
0,ఇక ఇంటికి చేరుకునే సమయం ఆసన్నమైంది. ఓ గంట అయితే తన తల్లిదండ్రుల ముందు ఆ బిడ్డ వాలిపోయేది. 
1,కానీ అంతలోనే అడవుల్లో ఆ బాలిక కుప్పకూలిపోయింది. బతుకుదెరువు కోసం వెళ్లిన బాలిక ఇంటికి కొద్ది దూరంలో చనిపోవడంతో తల్లిదండ్రులు శోకసంద్రంలో మునిగిపోయారు. 
0,మ‌య‌న్మార్‌లో ఉన్న యూఎన్ ఆఫీసు త‌న ఫేస్‌బుక్ పేజీలో ఈ విష‌యాన్ని వెల్ల‌డించింది. అయితే డ‌బ్ల్యూహెచ్‌వో వాహ‌నంపై ఎవ‌రు దాడి చేశార‌న్న విష‌యం ఇంకా తెలియ‌రాలేదు. 
1,ఇది హృదయ విదారకం.. ఎర్రటి ఎండలో.. అడవుల్లో కాలినడక.. 
0,ఉమ్మడి ఖమ్మం జిల్లాలోని ఓ గ్రామంలో మిరప తోటలో పనికి చేరింది ఆ బాలిక. లాక్‌డౌన్‌ కారణంగా పనులు ఆగిపోయాయి.
0, పూట గడవడం లేదు. బతకడం భారంగా మారింది. రెక్కాడితే కానీ డొక్కాడని వారు.. 
1,తమ ఊరెళ్లాలని సదరు బాలికతో పాటు మరో 11 మంది నిర్ణయించుకున్నారు. దీంతో ఏప్రిల్‌ 15వ తేదీన తాము పని చేస్తున్న మిరప తోట ప్రాంతం నుంచి బీజాపూర్‌కు కాలినడకన బయల్దేరారు.
1,మొత్తానికి ఆ బాలిక గ్రామానికి 14 కిలోమీటర్ల దూరంలో ఉన్న సమయంలో ఆమె తీవ్ర అనారోగ్యానికి గురైంది. శనివారం మధ్యాహ్నం తీవ్రమైన కడుపు నొప్పితో బాలిక బాధపడింది.
1, అక్కడే కుప్పకూలిపోయింది ఛత్తీస్‌గఢ్‌ బీజాపూర్‌ జిల్లాకు చెందిన జమ్లో మక్దం(12) అనే బాలిక రెండు నెలల క్రితం తెలంగాణకు బతుకుదెరువు కోసం వచ్చింది.
0,ఆ బాలికకు కరోనా పరీక్షలు నిర్వహించగా నెగిటివ్‌ వచ్చింది. 
